[2024-05-27 18:45:32:556][main] INFO  z.w.WeatherAssignmentApplication - Starting WeatherAssignmentApplication using Java 17.0.11 with PID 6208 (C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment\build\classes\java\main started by user in C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment)
[2024-05-27 18:45:32:558][main] INFO  z.w.WeatherAssignmentApplication - No active profile set, falling back to 1 default profile: "default"
[2024-05-27 18:45:33:1197][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-05-27 18:45:33:1214][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 JPA repository interfaces.
[2024-05-27 18:45:33:1641][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2024-05-27 18:45:33:1652][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-05-27 18:45:33:1654][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-05-27 18:45:33:1654][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
[2024-05-27 18:45:33:1722][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-05-27 18:45:33:1722][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1123 ms
[2024-05-27 18:45:33:1856][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-05-27 18:45:33:2164][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@20bb85b4
[2024-05-27 18:45:33:2168][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-05-27 18:45:34:2214][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-05-27 18:45:34:2267][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.8.Final
[2024-05-27 18:45:34:2303][main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2024-05-27 18:45:34:2522][main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2024-05-27 18:45:34:2588][main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[2024-05-27 18:45:34:2827][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2024-05-27 18:45:34:2831][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-05-27 18:45:34:2943][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-05-27 18:45:35:3301][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-05-27 18:45:35:3319][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
[2024-05-27 18:45:35:3327][main] INFO  z.w.WeatherAssignmentApplication - Started WeatherAssignmentApplication in 3.222 seconds (process running for 3.727)
[2024-05-27 18:49:30:238867][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-05-27 18:49:30:238869][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-05-27 18:49:30:238875][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
